State,Average Vet Visit Cost,Cost of Living Index,Median Household Income
Alabama,65,88.0,53913
Alaska,73,123.8,77845
Arizona,73,111.5,69056
Arkansas,65,88.7,52528
California,89,144.8,84907
Colorado,72,102.0,82254
Connecticut,82,112.3,83771
Delaware,83,100.8,71091
District of Columbia,87,141.9,90088
Florida,70,102.8,63062
Georgia,70,91.3,66559
Hawaii,73,186.9,84857
Idaho,70,102.0,66474
Illinois,71,94.4,72205
Indiana,67,90.5,62743
Iowa,68,89.7,65600
Kansas,63,87.0,64124
Kentucky,66,93.0,55573
Louisiana,66,92.2,52087
Maine,82,112.1,64767
Maryland,84,115.3,90203
Massachusetts,86,145.9,89645
Michigan,70,90.4,63498
Minnesota,78,95.1,77720
Mississippi,66,87.9,48716
Missouri,68,88.7,61847
Montana,68,94.9,63249
Nebraska,64,93.1,66817
Nevada,77,101.3,66274
New Hampshire,81,112.6,88465
New Jersey,85,114.6,89296
New Mexico,68,93.3,53992
New York,81,123.3,74314
North Carolina,69,97.8,61972
North Dakota,73,91.9,66519
Ohio,72,94.2,62262
Oklahoma,66,85.7,55826
Oregon,74,112.0,71562
Pennsylvania,77,95.1,68957
Rhode Island,80,112.2,74008
South Carolina,68,95.9,59318
South Dakota,73,92.2,66143
Tennessee,66,90.5,59695
Texas,71,92.7,66963
Utah,72,104.9,79449
Vermont,78,114.4,72431
Virginia,73,100.7,80963
Washington,80,114.2,84247
West Virginia,71,84.1,51248
Wisconsin,74,97.0,67125
Wyoming,72,95.5,65204
