State,Average Vet Visit Cost
Alabama,65
Alaska,73
Arizona,73
Arkansas,65
California,89
Colorado,72
Connecticut,82
Delaware,83
District of Columbia,87
Florida,70
Georgia,70
Hawaii,73
Idaho,70
Illinois,71
Indiana,67
Iowa,68
Kansas,63
Kentucky,66
Louisiana,66
Maine,82
Maryland,84
Massachusetts,86
Michigan,70
Minnesota,78
Mississippi,66
Missouri,68
Montana,68
Nebraska,64
Nevada,77
New Hampshire,81
New Jersey,85
New Mexico,68
New York,81
North Carolina,69
North Dakota,73
Ohio,72
Oklahoma,66
Oregon,74
Pennsylvania,77
Rhode Island,80
South Carolina,68
South Dakota,73
Tennessee,66
Texas,71
Utah,72
Vermont,78
Virginia,73
Washington,80
West Virginia,71
Wisconsin,74
Wyoming,72
